0/8600 (epoch 0), train_loss = 9.539, time/batch = 1.391
model saved to save/model.ckpt
50/8600 (epoch 0), train_loss = 9.022, time/batch = 1.223
100/8600 (epoch 0), train_loss = 7.898, time/batch = 1.295
150/8600 (epoch 0), train_loss = 7.880, time/batch = 1.238
200/8600 (epoch 1), train_loss = 7.560, time/batch = 1.239
250/8600 (epoch 1), train_loss = 7.313, time/batch = 1.252
300/8600 (epoch 1), train_loss = 7.207, time/batch = 1.249
350/8600 (epoch 2), train_loss = 7.187, time/batch = 1.243
400/8600 (epoch 2), train_loss = 6.848, time/batch = 1.257
450/8600 (epoch 2), train_loss = 6.949, time/batch = 1.263
500/8600 (epoch 2), train_loss = 6.516, time/batch = 1.367
550/8600 (epoch 3), train_loss = 6.550, time/batch = 1.252
600/8600 (epoch 3), train_loss = 6.199, time/batch = 1.248
650/8600 (epoch 3), train_loss = 6.483, time/batch = 1.265
700/8600 (epoch 4), train_loss = 6.421, time/batch = 1.241
750/8600 (epoch 4), train_loss = 6.250, time/batch = 1.256
800/8600 (epoch 4), train_loss = 5.762, time/batch = 1.247
850/8600 (epoch 4), train_loss = 5.986, time/batch = 1.269
900/8600 (epoch 5), train_loss = 5.934, time/batch = 1.243
950/8600 (epoch 5), train_loss = 5.665, time/batch = 1.248
1000/8600 (epoch 5), train_loss = 5.845, time/batch = 1.248
model saved to save/model.ckpt
1050/8600 (epoch 6), train_loss = 5.522, time/batch = 1.262
1100/8600 (epoch 6), train_loss = 5.738, time/batch = 1.253
1150/8600 (epoch 6), train_loss = 5.441, time/batch = 1.245
1200/8600 (epoch 6), train_loss = 5.709, time/batch = 1.243
1250/8600 (epoch 7), train_loss = 5.455, time/batch = 1.247
1300/8600 (epoch 7), train_loss = 5.464, time/batch = 1.256
1350/8600 (epoch 7), train_loss = 5.360, time/batch = 1.267
1400/8600 (epoch 8), train_loss = 5.311, time/batch = 1.245
1450/8600 (epoch 8), train_loss = 5.177, time/batch = 1.243
1500/8600 (epoch 8), train_loss = 5.188, time/batch = 1.252
1550/8600 (epoch 9), train_loss = 5.136, time/batch = 1.245
1600/8600 (epoch 9), train_loss = 4.964, time/batch = 1.239
1650/8600 (epoch 9), train_loss = 4.901, time/batch = 1.240
1700/8600 (epoch 9), train_loss = 4.635, time/batch = 1.243
1750/8600 (epoch 10), train_loss = 4.920, time/batch = 1.240
1800/8600 (epoch 10), train_loss = 4.402, time/batch = 1.244
1850/8600 (epoch 10), train_loss = 4.728, time/batch = 1.235
1900/8600 (epoch 11), train_loss = 4.694, time/batch = 1.251
1950/8600 (epoch 11), train_loss = 4.366, time/batch = 1.249
2000/8600 (epoch 11), train_loss = 4.683, time/batch = 1.248
model saved to save/model.ckpt
2050/8600 (epoch 11), train_loss = 4.035, time/batch = 1.239
2100/8600 (epoch 12), train_loss = 4.817, time/batch = 1.240
2150/8600 (epoch 12), train_loss = 4.085, time/batch = 1.282
2200/8600 (epoch 12), train_loss = 4.481, time/batch = 1.258
2250/8600 (epoch 13), train_loss = 4.293, time/batch = 1.268
2300/8600 (epoch 13), train_loss = 4.495, time/batch = 1.246
2350/8600 (epoch 13), train_loss = 3.852, time/batch = 1.242
2400/8600 (epoch 13), train_loss = 3.843, time/batch = 1.257
2450/8600 (epoch 14), train_loss = 4.379, time/batch = 1.243
2500/8600 (epoch 14), train_loss = 4.023, time/batch = 1.249
2550/8600 (epoch 14), train_loss = 4.086, time/batch = 1.245
2600/8600 (epoch 15), train_loss = 3.863, time/batch = 1.263
2650/8600 (epoch 15), train_loss = 4.068, time/batch = 1.238
2700/8600 (epoch 15), train_loss = 3.776, time/batch = 1.245
2750/8600 (epoch 15), train_loss = 3.921, time/batch = 1.243
2800/8600 (epoch 16), train_loss = 3.760, time/batch = 1.265
2850/8600 (epoch 16), train_loss = 4.081, time/batch = 1.256
2900/8600 (epoch 16), train_loss = 3.463, time/batch = 1.241
2950/8600 (epoch 17), train_loss = 3.800, time/batch = 1.245
3000/8600 (epoch 17), train_loss = 3.660, time/batch = 1.252
model saved to save/model.ckpt
3050/8600 (epoch 17), train_loss = 3.557, time/batch = 1.258
3100/8600 (epoch 18), train_loss = 3.494, time/batch = 1.256
3150/8600 (epoch 18), train_loss = 3.469, time/batch = 1.248
3200/8600 (epoch 18), train_loss = 3.521, time/batch = 1.247
3250/8600 (epoch 18), train_loss = 3.206, time/batch = 1.243
3300/8600 (epoch 19), train_loss = 3.612, time/batch = 1.240
3350/8600 (epoch 19), train_loss = 2.950, time/batch = 1.249
3400/8600 (epoch 19), train_loss = 3.110, time/batch = 1.244
3450/8600 (epoch 20), train_loss = 3.345, time/batch = 1.246
3500/8600 (epoch 20), train_loss = 3.611, time/batch = 1.244
3550/8600 (epoch 20), train_loss = 3.125, time/batch = 1.285
3600/8600 (epoch 20), train_loss = 3.156, time/batch = 1.245
3650/8600 (epoch 21), train_loss = 3.599, time/batch = 1.244
3700/8600 (epoch 21), train_loss = 2.824, time/batch = 1.253
3750/8600 (epoch 21), train_loss = 3.098, time/batch = 1.243
3800/8600 (epoch 22), train_loss = 3.130, time/batch = 1.242
3850/8600 (epoch 22), train_loss = 3.061, time/batch = 1.241
3900/8600 (epoch 22), train_loss = 2.771, time/batch = 1.259
3950/8600 (epoch 22), train_loss = 2.526, time/batch = 1.246
4000/8600 (epoch 23), train_loss = 3.099, time/batch = 1.245
model saved to save/model.ckpt
4050/8600 (epoch 23), train_loss = 2.930, time/batch = 1.277
4100/8600 (epoch 23), train_loss = 2.880, time/batch = 1.239
4150/8600 (epoch 24), train_loss = 3.075, time/batch = 1.235
4200/8600 (epoch 24), train_loss = 3.197, time/batch = 1.250
4250/8600 (epoch 24), train_loss = 2.645, time/batch = 1.445
4300/8600 (epoch 25), train_loss = 2.688, time/batch = 1.448
4350/8600 (epoch 25), train_loss = 2.719, time/batch = 1.455
4400/8600 (epoch 25), train_loss = 3.045, time/batch = 1.443
4450/8600 (epoch 25), train_loss = 2.406, time/batch = 1.450
4500/8600 (epoch 26), train_loss = 2.981, time/batch = 1.447
4550/8600 (epoch 26), train_loss = 2.766, time/batch = 1.418
4600/8600 (epoch 26), train_loss = 2.501, time/batch = 1.417
4650/8600 (epoch 27), train_loss = 2.426, time/batch = 1.421
4700/8600 (epoch 27), train_loss = 2.429, time/batch = 1.426
4750/8600 (epoch 27), train_loss = 2.563, time/batch = 1.424
4800/8600 (epoch 27), train_loss = 2.201, time/batch = 1.422
4850/8600 (epoch 28), train_loss = 2.787, time/batch = 1.792
4900/8600 (epoch 28), train_loss = 2.306, time/batch = 1.423
4950/8600 (epoch 28), train_loss = 2.521, time/batch = 1.422
5000/8600 (epoch 29), train_loss = 2.212, time/batch = 1.416
model saved to save/model.ckpt
5050/8600 (epoch 29), train_loss = 2.802, time/batch = 1.417
5100/8600 (epoch 29), train_loss = 2.120, time/batch = 1.559
5150/8600 (epoch 29), train_loss = 2.133, time/batch = 1.443
5200/8600 (epoch 30), train_loss = 2.703, time/batch = 1.777
5250/8600 (epoch 30), train_loss = 2.305, time/batch = 1.443
5300/8600 (epoch 30), train_loss = 2.272, time/batch = 1.446
5350/8600 (epoch 31), train_loss = 2.380, time/batch = 1.441
5400/8600 (epoch 31), train_loss = 2.387, time/batch = 1.476
5450/8600 (epoch 31), train_loss = 2.108, time/batch = 1.434
5500/8600 (epoch 31), train_loss = 2.233, time/batch = 1.429
5550/8600 (epoch 32), train_loss = 2.246, time/batch = 1.449
5600/8600 (epoch 32), train_loss = 2.308, time/batch = 1.416
5650/8600 (epoch 32), train_loss = 1.957, time/batch = 1.438
5700/8600 (epoch 33), train_loss = 2.609, time/batch = 1.438
5750/8600 (epoch 33), train_loss = 2.404, time/batch = 1.423
5800/8600 (epoch 33), train_loss = 2.222, time/batch = 1.447
5850/8600 (epoch 34), train_loss = 2.153, time/batch = 1.433
5900/8600 (epoch 34), train_loss = 2.074, time/batch = 1.434
5950/8600 (epoch 34), train_loss = 2.194, time/batch = 1.443
